P,land,soil,ET,I,R
1,open_water,0,0.34307144999999994,0.0,0.6569285499999999
1,open_water,1,0.34307144999999994,0.0,0.6569285499999999
1,open_water,2,0.34307144999999994,0.0,0.6569285499999999
1,open_water,3,0.34307144999999994,0.0,0.6569285499999999
1,developed_open,0,0.49949099999999996,0.3955889606299212,0.10492003937007872
1,developed_open,1,0.49949099999999996,0.3822816377952755,0.1182273622047244
1,developed_open,2,0.49949099999999996,0.38058911811023616,0.11991988188976375
1,developed_open,3,0.49949099999999996,0.38058911811023616,0.11991988188976375
1,developed_low,0,0.22082759999999999,0.594680116535433,0.18449228346456695
1,developed_low,1,0.22082759999999999,0.5826838960629921,0.19648850393700787
1,developed_low,2,0.22082759999999999,0.5811987779527559,0.19797362204724409
1,developed_low,3,0.22082759999999999,0.5811987779527559,0.19797362204724409
1,developed_med,0,0.09464039999999999,0.5349415685039369,0.370418031496063
1,developed_med,1,0.09464039999999999,0.5208416472440945,0.38451795275590545
1,developed_med,2,0.09464039999999999,0.5199972377952755,0.3853623622047244
1,developed_med,3,0.09464039999999999,0.5199972377952755,0.3853623622047244
1,developed_high,0,0.0315468,0.4126502078740158,0.5558029921259842
1,developed_high,1,0.0315468,0.3871539874015748,0.5812992125984251
1,developed_high,2,0.0315468,0.38673363307086617,0.5817195669291338
1,developed_high,3,0.0315468,0.38673363307086617,0.5817195669291338
1,barren_land,0,0.15773399999999999,0.842266,0.0
1,barren_land,1,0.15773399999999999,0.8353166746747148,0.0069493253252851245
1,barren_land,2,0.15773399999999999,0.7600017533659563,0.08226424663404358
1,barren_land,3,0.15773399999999999,0.6434733817726028,0.19879261822739713
1,deciduous_forest,0,0.52578,0.47422,0.0
1,deciduous_forest,1,0.52578,0.47422,0.0
1,deciduous_forest,2,0.52578,0.47422,0.0
1,deciduous_forest,3,0.52578,0.47422,0.0
1,shrub,0,0.473202,0.526798,0.0
1,shrub,1,0.473202,0.526798,0.0
1,shrub,2,0.473202,0.526798,0.0
1,shrub,3,0.473202,0.526798,0.0
1,grassland,0,0.5678424000000001,0.4321575999999999,0.0
1,grassland,1,0.5678424000000001,0.4321575999999999,0.0
1,grassland,2,0.5678424000000001,0.4321575999999999,0.0
1,grassland,3,0.5678424000000001,0.4321575999999999,0.0
1,pasture,0,0.49949099999999996,0.500509,0.0
1,pasture,1,0.49949099999999996,0.500509,0.0
1,pasture,2,0.49949099999999996,0.500509,0.0
1,pasture,3,0.49949099999999996,0.500509,0.0
1,cultivated_crops,0,0.6046469999999999,0.395353,0.0
1,cultivated_crops,1,0.6046469999999999,0.395353,0.0
1,cultivated_crops,2,0.6046469999999999,0.39301575314640996,0.0023372468535900505
1,cultivated_crops,3,0.6046469999999999,0.3559151860425653,0.03943781395743469
1,woody_wetlands,0,0.6309359999999999,0.36906399999999995,0.0
1,woody_wetlands,1,0.6309359999999999,0.36906399999999995,0.0
1,woody_wetlands,2,0.6309359999999999,0.36906399999999995,0.0
1,woody_wetlands,3,0.6309359999999999,0.36906399999999995,0.0
3,open_water,0,0.34307144999999994,0.0,2.65692855
3,open_water,1,0.34307144999999994,0.0,2.65692855
3,open_water,2,0.34307144999999994,0.0,2.65692855
3,open_water,3,0.34307144999999994,0.0,2.65692855
3,developed_open,0,0.49949099999999996,2.054180939871152,0.4463280601288474
3,developed_open,1,0.49949099999999996,1.96069518468146,0.5398138153185398
3,developed_open,2,0.49949099999999996,1.9007890286327844,0.5997199713672154
3,developed_open,3,0.49949099999999996,1.6685917299047555,0.8319172700952444
3,developed_low,0,0.22082759999999999,2.106070109377237,0.6731022906227629
3,developed_low,1,0.22082759999999999,2.0217555066571222,0.7574168933428775
3,developed_low,2,0.22082759999999999,1.9675493506084465,0.8116230493915533
3,developed_low,3,0.22082759999999999,1.758204640035111,1.0209677599648888
3,developed_med,0,0.09464039999999999,1.5530023344309232,1.3523572655690765
3,developed_med,1,0.09464039999999999,1.4709238806012883,1.4344357193987116
3,developed_med,2,0.09464039999999999,1.4414465720830352,1.4639130279169648
3,developed_med,3,0.09464039999999999,1.3925950941835823,1.5127645058164176
3,developed_high,0,0.0315468,0.9712101792412313,1.9972430207587686
3,developed_high,1,0.0315468,0.8608028778811739,2.107650322118826
3,developed_high,2,0.0315468,0.8472513388690052,2.1212018611309946
3,developed_high,3,0.0315468,0.8472513388690052,2.1212018611309946
3,barren_land,0,0.15773399999999999,2.599907732801822,0.2423582671981778
3,barren_land,1,0.15773399999999999,2.0936769533134645,0.7485890466865354
3,barren_land,2,0.15773399999999999,1.597090664674625,1.2451753353253747
